Week,Mon,Tue,Wed,Thu,Fri,Sat,Sun
1,Rest,3 mi run,3 mi run,3 mi run,Rest,4 mi run,60 min cross
2,Rest,3 mi run,3 mi pace,3 mi run,Rest,5 mi run,60 min cross
3,Rest,3 mi run,4 mi run,3 mi run,Rest,6 mi run,60 min cross
4,Rest,3 mi run,4 mi pace,3 mi run,Rest,7 mi run,60 min cross
5,Rest,3 mi run,4 mi run,3 mi run,Rest,8 mi run,60 min cross
6,Rest,3 mi run,4 mi pace,3 mi run,Rest,5-K Race,60 min cross
7,Rest,3 mi run,5 mi run,3 mi run,Rest,9 mi run,60 min cross
8,Rest,3 mi run,5 mi pace,3 mi run,Rest,10 mi run,60 min cross
9,Rest,3 mi run,5 mi run,3 mi run,Rest,10-K Race,60 min cross
10,Rest,3 mi run,5 mi pace,3 mi run,Rest,11 mi run,60 min cross
11,Rest,3 mi run,5 mi run,3 mi run,Rest,12 mi run,60 min cross
12,Rest,3 mi run,2 mi pace,2 mi run,Rest,Rest,Half Marathon
